PC_ConceptID,Estado,PC_Término_Preferido,Sensibilidad,Creación_Nombre,Revisado,Consultar,Sabor,id_Laboratorio Comercial,Laboratorio_Comercial,id_ISP,reg_ISP,glosa_ISP,id_Bioequivalente,reg_ISP_Bioequivalente,glosa_ISP_Bioequivalente,ConceptID_Fármacos _Medicamento_Clínico,Preferido_Fármacos _Medicamento_Clínico,Estado,ConceptID_Fármacos_Familia_de_Productos,Preferido_Fármacos_Familia_de_Productos,Estado,Comercializado,id_FFE,glosa_FFE,ConceptID_SNM,Preferido_SNM,Grupo
808501000000000,Vigente,turbogesic crema (Lab Chile),Sensible,Manual,No,No,,9578,Laboratorio Chile S.A.,,,,,,,6.72331E+14,diclofenaco sódico 1% (10 mg/g) crema,Vigente ,768911000000000,turbogesic,Vigente ,Si,10004,crema,373873005,producto biológico/farmacéutico ,0
808511000000000,Vigente,ectien XR 75 mg cápsula con microgránulos recubiertos de liberación prolongada (Lab Chile),Sensible,Manual,No,No,,9578,Laboratorio Chile S.A.,20263,F-20043/13,ECTIEN XR CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 75 mg,,,,6.81261E+14,venlafaxina 75 mg cápsula liberación modificada,Vigente ,769011000000000,ectien XR,Vigente ,Si,9863,cápsula con microgránulos recubiertos de liberación prolongada,373873005,producto biológico/farmacéutico ,0
808521000000000,Vigente,painpac gel tópico (Prater),Sensible,Manual,No,No,,9593,Laboratorio Prater S.A.,22446,F-21646/15,PAINPAC GEL TOPICO 5%,,,,6.97091E+14,ibuprofeno 5% (50 mg/g) gel,Vigente ,805801000000000,painpac,Vigente ,Si,9986,gel tópico,373873005,producto biológico/farmacéutico ,0
808531000000000,Vigente,metronidazol 250 mg comprimido (Andrómaco),Sensible,Manual,No,Si,,9604,Laboratorios Andrómaco S.A.,21880,F-14679/10,METRONIDAZOL COMPRIMIDOS 250 mg,,,,6.83531E+14,metronidazol 250 mg comprimido,Vigente ,768931000000000,metronidazol,Vigente ,Si,9840,comprimido,373873005,producto biológico/farmacéutico ,0
808541000000000,Vigente,zoltum polvo liofilizado para solución inyectable (Tecnofarma),Sensible,Manual,No,No,,9690,Tecnofarma S.A.,,,,,,,6.95561E+14,pantoprazol 40 mg inyectable,Vigente ,790551000000000,zoltum,Vigente ,Si,10010,polvo liofilizado para solución inyectable,373873005,producto biológico/farmacéutico ,0
808551000000000,Vigente,enalten 5 mg comprimido (Saval),Sensible,Manual,No,No,,9596,Laboratorio Saval S.A.,20364,F-5454/15,ENALTEN COMPRIMIDOS 5 mg,,,,6.72441E+14,enalapril 5 mg comprimido,Vigente ,797171000000000,enalten,Vigente ,Si,9840,comprimido,373873005,producto biológico/farmacéutico ,0
808561000000000,Vigente,profenid 100 mg comprimido con recubrimiento entérico (Sanofi Aventis),Sensible,Manual,No,No,,9595,Laboratorio Sanofi Aventis de Chile S.A.,22688,F-9748/16,PROFENID COMPRIMIDOS CON RECUBRIMIENTO ENTÉRICO 100 mg (KETOPROFENO),,,,6.79931E+14,ketoprofeno 100 mg comprimido,Vigente ,791821000000000,profenid,Vigente ,Si,9942,comprimido con recubrimiento entérico,373873005,producto biológico/farmacéutico ,0
808571000000000,Vigente,metoclopramida clorhidrato 10 mg comprimido (Lab Chile),Sensible,Manual,No,No,,9578,Laboratorio Chile S.A.,21863,F-3988/15,METOCLOPRAMIDA CLORHIDRATO COMPRIMIDOS 10 mg,,,,6.73591E+14,metoclopramida 10 mg comprimido,Vigente ,793801000000000,metoclopramida clorhidrato,Vigente ,Si,9840,comprimido,373873005,producto biológico/farmacéutico ,0
808581000000000,Vigente,diclotaren gel tópico (Farmo Química),Sensible,Manual,No,No,,9523,Farmo Química del Pacífico S.A.,20050,F-22030/15,"DICLOTAREN GEL TÓPICO 1,16% (Diclofenaco dietilamina)",,,,6.81881E+14,"diclofenaco dietilamina 1,16% (11,6 mg/g) gel",Vigente ,793131000000000,diclotaren,Vigente ,Si,9986,gel tópico,373873005,producto biológico/farmacéutico ,0
808591000000000,Vigente,esanterm forte suspensión oral (Esan),Sensible,Manual,No,No,,9520,Farmacéutica Esan Ltda.,20429,F-16672/13,ESANTERM FORTE SUSPENSIÓN ORAL 200 mg/5 mL,,,,6.75481E+14,ibuprofeno 200 mg/5 mL suspensión oral,Vigente ,807601000000000,esanterm forte,Vigente ,Si,9953,suspensión oral,373873005,producto biológico/farmacéutico ,0
808601000000000,Vigente,diprotan 60 mg cápsula con gránulos con recubrimiento entérico (Ascend),Sensible,Manual,No,No,,9458,Ascend Laboratories SpA,20102,F-22123/15,DIPROTAN CÁPSULAS CON GRÁNULOS CON RECUBRIMIENTO ENTÉRICO 60 mg,,,,6.87591E+14,duloxetina 60 mg cápsula,Vigente ,807551000000000,diprotan,Vigente ,Si,9911,cápsula con gránulos con recubrimiento entérico,373873005,producto biológico/farmacéutico ,0
808611000000000,Vigente,ectien XR 150 mg cápsula con microgránulos recubiertos de liberación prolongada (Lab Chile),Sensible,Manual,No,No,,9578,Laboratorio Chile S.A.,20261,F-20044/13,ECTIEN XR CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 150 mg,,,,6.86801E+14,venlafaxina 150 mg cápsula liberación modificada,Vigente ,769011000000000,ectien XR,Vigente ,Si,9863,cápsula con microgránulos recubiertos de liberación prolongada,373873005,producto biológico/farmacéutico ,0
808621000000000,Vigente,macrodantina 100 mg cápsula (Boehringer I.),Sensible,Manual,No,No,,9481,Boehringer Ingelheim,21708,F-1471/13,MACRODANTINA CÁPSULAS 100 mg,21710,F-3632/15,MACROSAN CÁPSULAS 100 mg,6.72461E+14,nitrofurantoína 100 mg cápsula,Vigente ,791171000000000,macrodantina,Vigente ,Si,10036,cápsula,373873005,producto biológico/farmacéutico ,0
808631000000000,Vigente,todexona suspensión oftálmica (S.M.B. Farma),Sensible,Manual,No,No,,9629,Laboratorios S.M.B. Farma S.A.,,,,,,,6.76301E+14,"dexametasona 0,1% (1 mg/mL) + tobramicina 0,3% (3 mg/mL) colirio",Vigente ,778021000000000,todexona,Vigente ,Si,9954,suspensión oftálmica,373873005,producto biológico/farmacéutico ,0
808641000000000,Vigente,paracetamol infantil 100 mg/mL solución oral para gotas (Andrómaco),Sensible,Manual,No,No,,9604,Laboratorios Andrómaco S.A.,,,,,,,6.77591E+14,paracetamol 100 mg/mL gotas orales,Vigente ,805711000000000,paracetamol infantil,Vigente ,Si,9843,solución oral para gotas,373873005,producto biológico/farmacéutico ,0
808651000000000,Vigente,sintoftona ungüento oftálmico (S.M.B. Farma),Sensible,Manual,No,No,,9629,Laboratorios S.M.B. Farma S.A.,23138,F-10253/16,SINTOFTONA UNGÜENTO OFTÁLMICO,,,,6.99261E+14,"cloranfenicol 0,2% (2 mg/mL) + prednisolona acetato 0,5% (5 mg/mL) ungüento oftálmico",Vigente ,787541000000000,sintoftona,Vigente ,Si,9848,ungüento oftálmico,373873005,producto biológico/farmacéutico ,0
808661000000000,Vigente,"elonva 150 mcg/0,5 mL solución inyectable (MSD)",Sensible,Manual,No,No,,9580,"Laboratorio Farmacéutico Merck Sharp & Dohme Chile, Inc",20308,B-2163/15,"ELONVA SOLUCIÓN INYECTABLE 150 mcg/0,5 mL (CORIFOLITROPINA ALFA)",,,,6.93671E+14,"corifolitropina alfa 150 mcg/0,5 mL (300 mcg/mL) inyectable",Vigente ,807691000000000,elonva,Vigente ,Si,9971,solución inyectable,373873005,producto biológico/farmacéutico ,0
808671000000000,Vigente,"ectien XR 37,5 mg cápsula con microgránulos recubiertos de liberación prolongada (Lab Chile)",Sensible,Manual,No,No,,9578,Laboratorio Chile S.A.,20262,F-20042/13,"ECTIEN XR CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 37,5 mg",,,,6.79061E+14,"venlafaxina 37,5 mg cápsula liberación modificada",Vigente ,769011000000000,ectien XR,Vigente ,Si,9863,cápsula con microgránulos recubiertos de liberación prolongada,373873005,producto biológico/farmacéutico ,0
808681000000000,Vigente,gastrium solución inyectable (Saval),Sensible,Manual,No,No,,9596,Laboratorio Saval S.A.,20837,F-5460/15,GASTRIUM SOLUCIÓN INYECTABLE 20 mg/2 mL,,,,6.77201E+14,famotidina 20 mg/2 mL (10 mg/ mL) inyectable,Vigente ,800041000000000,gastrium,Vigente ,Si,9971,solución inyectable,373873005,producto biológico/farmacéutico ,0
808691000000000,Vigente,migtal comprimido recubierto (Saval),Sensible,Manual,No,No,,9596,Laboratorio Saval S.A.,,,,,,,6.81961E+14,"naratriptán 2,5 mg comprimido",Vigente ,769341000000000,migtal,Vigente ,Si,9926,comprimido recubierto,373873005,producto biológico/farmacéutico ,0
808701000000000,Vigente,lukanex 5 mg comprimido masticable (Saval),Sensible,Manual,No,No,,9596,Laboratorio Saval S.A.,,,,,,,6.72351E+14,montelukast 5 mg comprimido,Vigente ,769311000000000,lukanex,Vigente ,Si,10027,comprimido masticable,373873005,producto biológico/farmacéutico ,0
808711000000000,Vigente,alertex 100 mg comprimido (Saval),Sensible,Manual,No,No,,9596,Laboratorio Saval S.A.,18685,F-15506/16,ALERTEX COMPRIMIDOS 100 mg,,,,6.83121E+14,modafinilo 100 mg comprimido,Vigente ,774531000000000,alertex,Vigente ,Si,9840,comprimido,373873005,producto biológico/farmacéutico ,0
808721000000000,Vigente,clarimir F solución oftálmica (Andrómaco),Sensible,Manual,No,No,,9604,Laboratorios Andrómaco S.A.,19553,F-20184/15,CLARIMIR-F SOLUCIÓN OFTÁLMICA,,,,6.98681E+14,"feniramina 0,3% (3 mg/mL) + nafazolina 0,025% (250 mcg/mL) colirio",Vigente ,769231000000000,clarimir F,Vigente ,Si,9967,solución oftálmica,373873005,producto biológico/farmacéutico ,0
808731000000000,Vigente,amitriptilina 25 mg comprimido recubierto (Lab Chile),Sensible,Manual,No,No,,9578,Laboratorio Chile S.A.,18769,F-1347/13,AMITRIPTILINA CLORHIDRATO COMPRIMIDOS RECUBIERTOS 25 mg,,,,6.72581E+14,amitriptilina 25 mg comprimido,Vigente ,798041000000000,amitriptilina,Vigente ,Si,9926,comprimido recubierto,373873005,producto biológico/farmacéutico ,0
808741000000000,Vigente,mioflam 15 mg comprimido (Synthon),Sensible,Manual,No,No,,9687,Synthon Chile Ltda.,21964,F-12169/12,MIOFLAM COMPRIMIDOS 15 mg.,,,,6.72071E+14,meloxicam 15 mg comprimido,Vigente ,769121000000000,mioflam,Vigente ,Si,9840,comprimido,373873005,producto biológico/farmacéutico ,0
808751000000000,Vigente,lukanex 10 mg comprimido recubierto (Saval),Sensible,Manual,No,No,,9596,Laboratorio Saval S.A.,21673,F-16852/13,LUKANEX COMPRIMIDOS RECUBIERTOS 10 mg,,,,6.87351E+14,montelukast 10 mg comprimido,Vigente ,769311000000000,lukanex,Vigente ,Si,9926,comprimido recubierto,373873005,producto biológico/farmacéutico ,0
808761000000000,Vigente,"xarelto 2,5 mg comprimido recubierto (Bayer)",Sensible,Manual,No,No,,9469,Bayer S.A.,23830,F-22277/15,"XARELTO COMPRIMIDOS RECUBIERTOS 2,5 mg (RIVAROXABAN)",,,,6.98401E+14,"rivaroxabán 2,5 mg comprimido",Vigente ,780651000000000,xarelto,Vigente ,Si,9926,comprimido recubierto,373873005,producto biológico/farmacéutico ,0
808771000000000,Vigente,ambroxol clorhidrato 30 mg/5 mL jarabe (Andrómaco),Sensible,Manual,No,No,,9604,Laboratorios Andrómaco S.A.,18748,F-6510/15,AMBROXOL CLORHIDRATO ADULTO JARABE 30 mg/5 mL,,,,6.72631E+14,ambroxol 30 mg/5 mL solución oral,Vigente ,782291000000000,ambroxol clorhidrato,Vigente ,Si,9845,jarabe,373873005,producto biológico/farmacéutico ,0
808781000000000,Vigente,adoplan comprimido recubierto (Esan),Sensible,Manual,No,No,,9520,Farmacéutica Esan Ltda.,18622,F-9293/16,ADOPLAN COMPRIMIDOS RECUBIERTOS 125 mg,,,,6.76641E+14,clonixinato de lisina 125 mg comprimido,Vigente ,769221000000000,adoplan,Vigente ,Si,9926,comprimido recubierto,373873005,producto biológico/farmacéutico ,0
808791000000000,Vigente,lukanex 4 mg granulado para solución oral (Saval),Sensible,Manual,No,No,,9596,Laboratorio Saval S.A.,,,,,,,6.98841E+14,montelukast 4 mg granulado,Vigente ,769311000000000,lukanex,Vigente ,Si,9823,granulado para solución oral,373873005,producto biológico/farmacéutico ,0
808801000000000,Vigente,espercil 500 mg comprimido recubierto (Grünenthal),Sensible,Manual,No,No,,9549,Grünenthal Chilena Ltda.,20472,F-20682/13,ESPERCIL COMPRIMIDOS RECUBIERTOS 500 mg,,,,6.72651E+14,ácido tranexámico 500 mg comprimido,Vigente ,797491000000000,espercil,Vigente ,Si,9926,comprimido recubierto,373873005,producto biológico/farmacéutico ,0
808811000000000,Vigente,lyvelsa comprimido recubierto (Bayer),Sensible,Manual,No,No,,9469,Bayer S.A.,21695,F-21565/14,LYVELSA COMPRIMIDOS RECUBIERTOS 75 mg (CLOPIDOGREL),,,,6.78301E+14,clopidogrel 75 mg comprimido,Vigente ,769271000000000,lyvelsa,Vigente ,Si,9926,comprimido recubierto,373873005,producto biológico/farmacéutico ,0
808821000000000,Vigente,lomex IV polvo liofilizado para solución inyectable con solvente (Saval),Sensible,Manual,No,No,,9596,Laboratorio Saval S.A.,21609,F-3384/15,LOMEX LIOFILIZADO PARA SOLUCIÓN INYECTABLE 40 mg CON SOLVENTE,,,,6.78101E+14,omeprazol 40 mg inyectable,Vigente ,795201000000000,lomex IV,Vigente ,Si,9935,polvo liofilizado para solución inyectable con solvente,373873005,producto biológico/farmacéutico ,0
808831000000000,Vigente,burten comprimido (Lab Chile),Sensible,Manual,No,No,,9578,Laboratorio Chile S.A.,27192,F-15740/16,BURTEN COMPRIMIDOS 10 mg,,,,6.76791E+14,ketorolaco 10 mg comprimido,Vigente ,769461000000000,burten,Vigente ,Si,9840,comprimido,373873005,producto biológico/farmacéutico ,0
808841000000000,Vigente,esantuss infantil jarabe (Esan),Sensible,Manual,No,No,,9520,Farmacéutica Esan Ltda.,,,,,,,6.92051E+14,bromhexina 1 mg/5 mL + clofedianol 7 mg/5 mL solución oral,Vigente ,769501000000000,esantuss infantil,Vigente ,Si,9845,jarabe,373873005,producto biológico/farmacéutico ,0
808851000000000,Vigente,pyriped forte comprimido recubierto (Mintlab),Sensible,Manual,No,No,,9647,Mintlab Co. S.A.,,,,,,,6.76971E+14,ibuprofeno 600 mg comprimido,Vigente ,785461000000000,pyriped forte,Vigente ,Si,9926,comprimido recubierto,373873005,producto biológico/farmacéutico ,0
808861000000000,Vigente,vick freshmel tos comprimido de disolución bucal (Lab Chile),Sensible,Manual,No,No,,9578,Laboratorio Chile S.A.,23754,F-5484/15,FRESHMEL TOS COMPRIMIDOS DE DISOLUCIÓN BUCAL,,,,6.95171E+14,clorhexidina 5 mg + noscapina 10 mg comprimido,Vigente ,798761000000000,vick freshmel tos,Vigente ,Si,9937,comprimido de disolución bucal,373873005,producto biológico/farmacéutico ,0
808871000000000,Vigente,mentholatum ungüento tópico (Hofmann),Sensible,Manual,No,No,,9503,Droguería Hofmann S.A.C.,,,,,,,6.85241E+14,alcanfor 10% (100 mg/g) + mentol 1% (10 mg/g) ungüento,Vigente ,769281000000000,mentholatum,Vigente ,Si,9950,ungüento tópico,373873005,producto biológico/farmacéutico ,0
808881000000000,Vigente,relvar ellipta 184 / 22 polvo para inhalación (GSK),Sensible,Manual,No,No,,9544,Glaxo Smithkline Chile Farmacéutica Ltda.,22855,F-20749/14,RELVAR ELLIPTA 184/22 POLVO PARA INHALACIÓN,,,,6.71901E+14,fluticasona furoato 184 mcg/dosis + vilanterol 22 mcg/dosis polvo para inhalación,Vigente ,769611000000000,relvar ellipta,Vigente ,Si,10008,polvo para inhalación,373873005,producto biológico/farmacéutico ,0
808891000000000,Vigente,neohysticlar jarabe (Mintlab),Sensible,Manual,No,No,,9647,Mintlab Co. S.A.,22100,F-14380/14,"NEOHYSTICLAR JARABE 2,5 mg/5 mL",,,,6.82301E+14,"desloratadina 2,5 mg/5 mL solución oral",Vigente ,790951000000000,neohysticlar,Vigente ,Si,9845,jarabe,373873005,producto biológico/farmacéutico ,0
808901000000000,Vigente,diclofenaco sódico 50 mg comprimido con recubrimiento entérico (Genfar),Sensible,Manual,No,No,,9538,Genfar S.A. División (Sanofi Aventis),20038,F-12473/12,DICLOFENACO SÓDICO COMPRIMIDOS CON RECUBRIMIENTO ENTÉRICO 50 mg,,,,6.72551E+14,diclofenaco sódico 50 mg comprimido,Vigente ,774891000000000,diclofenaco sódico,Vigente ,Si,9942,comprimido con recubrimiento entérico,373873005,producto biológico/farmacéutico ,0
808911000000000,Vigente,extosen jarabe (Sanitas),Sensible,Manual,No,No,,9559,Instituto Sanitas S.A.,20555,F-8950/16,EXTOSEN JARABE,,,,6.80271E+14,"clorfenamina 0,5 mg/5 mL + codeína 10 mg/5 mL + pseudoefedrina clorhidrato 7,5 mg/5 mL solución oral",Vigente ,769291000000000,extosen,Vigente ,Si,9845,jarabe,373873005,producto biológico/farmacéutico ,0
808921000000000,Vigente,lukanex 4 mg comprimido masticable (Saval),Sensible,Manual,No,No,,9596,Laboratorio Saval S.A.,,,,,,,6.79951E+14,montelukast 4 mg comprimido,Vigente ,769311000000000,lukanex,Vigente ,Si,10027,comprimido masticable,373873005,producto biológico/farmacéutico ,0
